ID,Site,Year,Month,Day,UTCmonth,UTCday,Hour,Minute,Duration,Z1,Z2,Cal,Big,FFD,Z0C,Storm,FFD
KHGX,KHGX,2022,1,8,1,8,22,0,1.5,45,50,-0.403029399,300,180,3500,0,180
KDMX,KDMX,2022,3,5,3,5,23,0,1.5,45,50,-0.024584544,300,180,3500,0,140
KEWX,KEWX,2022,3,21,3,21,23,0,1.5,45,50,-0.067091951,300,180,3500,2,150
KLIX,KLIX,2022,3,23,3,23,0,0,1.5,45,50,-0.161880073,300,180,3500,2,140
KPBZ,KPBZ,2022,3,23,3,23,21,0,1.5,45,50,-0.035065911,300,180,3500,0,170
KCLX,KCLX,2022,4,5,4,5,20,0,1.5,45,50,-0.066995692,300,180,3500,0,150
KLTX,KLTX,2022,4,7,4,7,20,0,1.5,45,50,-0.202706576,300,180,3500,3,160
KLZK,KLZK,2022,4,12,4,12,1,0,1.5,45,50,-0.206532697,300,180,3500,1,180
KGRK,KGRK,2022,4,12,4,12,23,0,1.5,45,50,-0.25063324,300,180,3500,0,180
KDGX,KDGX,2022,4,17,4,17,22,0,1.5,45,50,-0.237804768,300,180,3500,0,210
KICT,KICT,2022,4,30,4,30,1,0,1.5,38,42,-0.048048083,300,180,3500,-99,230
KLZK,KLZK,2022,4,30,4,30,23,0,1.5,45,50,-0.019101661,300,180,3500,5,190
KTLX,KTLX,2022,5,2,5,2,23,0,1.5,45,50,0.000853221,300,180,3500,0,230
KFDR,KFDR,2022,5,5,5,5,2,0,1.5,45,50,-0.381136499,300,180,3500,0,180
KTLX,KTLX,2022,5,5,5,5,0,0,1.5,45,50,-0.077307862,300,180,3500,1,180
KAMA,KAMA,2022,5,4,5,4,23,0,1.5,45,50,-0.407461596,300,180,3500,0,150
KGSP,KGSP,2022,5,6,5,6,21,0,1.5,45,50,-0.053156962,300,180,3500,0,130
KVNX,KVNX,2022,5,14,5,14,4,0,1.5,45,50,0.206784236,300,180,3500,1,190
KDDC,KDDC,2022,5,14,5,14,23,0,1.5,45,50,-0.060132404,300,180,3500,1,240
KSRX,KSRX,2022,5,15,5,15,23,0,1.5,45,50,-0.059683407,300,180,3500,0,170
KDOX,KDOX,2022,5,16,5,16,22,0,1.5,45,50,0.050184707,300,180,3500,0,130
KLVX,KLVX,2022,5,19,5,19,21,0,1.5,45,50,0.016272076,300,180,3500,2,190
KAPX,KAPX,2022,5,20,5,20,20,0,1.5,45,50,0.007268819,300,180,3500,0,160
KMAF,KMAF,2022,5,24,5,24,23,0,1.5,45,50,-0.110898022,300,180,3500,0,130
KICT,KICT,2022,5,31,5,31,0,0,1.5,45,50,0.1126432,300,180,3500,0,150
KFDR,KFDR,2022,6,2,6,2,2,0,1.5,45,50,-0.342964562,300,180,3500,1,180
KLNX,KLNX,2022,6,6,6,6,22,0,1.5,45,50,-0.145304711,300,180,3500,0,180
KPUX,KPUX,2022,6,6,6,6,20,0,1.5,45,50,-0.02998917,300,180,3500,0,190
